,Strong Leader Policy,Weak Leader Policy
Strong Follower Policy,"(10.000000000000002, 5.000000000000001)",[8.21191037 4.12322951]
Blind Follower Policy,[8.21191037 4.12322951],"(10.000000000000002, 1.0)"
