,Strong Leader Policy,Weak Leader Policy
Strong Follower Policy,"(10.806561000000002, 5.500000000000001)",[9.93752861 4.97733772]
Blind Follower Policy,[9.93752861 4.97733772],"(10.806561000000002, 5.500000000000001)"
