,Strong Leader Policy,Weak Leader Policy
Strong Follower Policy,"(-12.505981317934783, 2.7211915760869565)",[-7.06320804  1.40359177]
Blind Follower Policy,[-7.06320804  1.40359177],"(-12.505981317934783, 2.7211915760869565)"
