,Strong Leader Policy,Weak Leader Policy
Strong Follower Policy,"(-6.846153846153846, -13.846153846153847)",[ -6.84615385 -13.84615385]
Blind Follower Policy,[ -6.84615385 -13.84615385],"(-6.846153846153846, -13.846153846153847)"
