,Strong Leader Policy,Weak Leader Policy
Strong Follower Policy,"(12.520875410000002, 6.400000000000001)",[11.25765564  5.64139992]
Blind Follower Policy,[11.25765564  5.64139992],"(12.520875410000002, 6.400000000000001)"
