,Strong Leader Policy,Weak Leader Policy
Strong Follower Policy,"(-8.83804347826087, 2.132608695652174)",[-4.54208856  1.12145463]
Blind Follower Policy,[-4.54208856  1.12145463],"(-8.83804347826087, 2.132608695652174)"
