,Strong Leader Policy,Weak Leader Policy
Strong Follower Policy,"(2.6666666666666665, -0.33333333333333326)",[ 2.66666667 -0.33333333]
Blind Follower Policy,[ 2.66666667 -0.33333333],"(2.6666666666666665, -0.33333333333333326)"
