,Strong Leader Policy,Weak Leader Policy
Strong Follower Policy,"(4.530435593101195, 3.1051099687021972)",[4.10273113 1.44408143]
Blind Follower Policy,[4.10273113 1.44408143],"(4.530435593101195, 3.1051099687021972)"
