,Strong Leader Policy,Weak Leader Policy
Strong Follower Policy,"(-15.95590172877137, 2.949872669529785)",[-10.18506982   1.48850697]
Blind Follower Policy,[-10.18506982   1.48850697],"(-15.95590172877137, 2.949872669529785)"
