,Strong Leader Policy,Weak Leader Policy
Strong Follower Policy,"(8.09030784637983, 16.19600176960022)",[6.69811602 7.54993863]
Blind Follower Policy,[6.69811602 7.54993863],"(8.09030784637983, 16.19600176960022)"
