,Strong Leader Policy,Weak Leader Policy
Strong Follower Policy,"(8.352883547184623, 10.37878908882094)",[7.52675089 3.87454481]
Blind Follower Policy,[7.52675089 3.87454481],"(8.352883547184623, 10.37878908882094)"
