,Strong Leader Policy,Weak Leader Policy
Strong Follower Policy,"(8.266975128468664, 8.450783694814245)",[7.77256196 2.30954495]
Blind Follower Policy,[7.77256196 2.30954495],"(8.266975128468664, 8.450783694814245)"
