,Strong Leader Policy,Weak Leader Policy
Strong Follower Policy,"(11.183693272887503, 19.619034310009663)",[9.97498755 7.46472067]
Blind Follower Policy,[9.97498755 7.46472067],"(11.183693272887503, 19.619034310009663)"
