,Strong Leader Policy,Weak Leader Policy
Strong Follower Policy,"(-17.998657801057757, 2.98158950713277)",[-12.19134727   1.49778706]
Blind Follower Policy,[-12.19134727   1.49778706],"(-17.998657801057757, 2.98158950713277)"
