Strong Leader,Weak Leader
"(6.999999214291314, 0.9999994387857463)","[14.999999775514297, -7.857034478586655e-07]"
"[14.999999775514297, -7.857034478586655e-07]","(6.999999214291314, 0.9999994387857463)"
