,Strong Leader Policy,Weak Leader Policy
Strong Follower Policy,"(-19.00231631156041, 2.989002355656266)",[-13.1896361    1.49909988]
Blind Follower Policy,[-13.1896361    1.49909988],"(-19.00231631156041, 2.989002355656266)"
