,Strong Leader Policy,Weak Leader Policy
Strong Follower Policy,"(8.257454295007408, 13.788965735389622)",[7.1993408  5.92205247]
Blind Follower Policy,[7.1993408  5.92205247],"(8.257454295007408, 13.788965735389622)"
