,Strong Leader Policy,Weak Leader Policy
Strong Follower Policy,"(-6.538461538461538, -6.9230769230769225)",[-6.53846154 -6.92307692]
Blind Follower Policy,[-6.53846154 -6.92307692],"(-6.538461538461538, -6.9230769230769225)"
