horizon,gametype,SOTA,iterations,time,number_of_beliefs,leader values,follower values,density
4,zerosum,Stackelberg,2,0.6712682247161865,20,-200.0,[200. 200. 200. 200.],0.2
4,zerosum,State of the Art,3,0.6516070365905762,20,-200.0,[ 34.31632093 151.          54.21262626 200.        ],0.2
4,zerosum,Stackelberg,3,0.7616558074951172,20,-200.0,[200. 200. 200. 200.],0.2
4,zerosum,State of the Art,4,0.6645607948303223,20,-200.0,[ 34.31632093 151.          54.21262626 200.        ],0.2
4,zerosum,Stackelberg,4,0.7899980545043945,20,-200.0,[200. 200. 200. 200.],0.2
4,generalsum,State of the Art,2,0.6750829219818115,20,-4.0,[147.5  40.5 159.  143. ],0.2
4,generalsum,Stackelberg,2,0.6921219825744629,20,-4.0,[147.5  40.5 159.  143. ],0.2
4,generalsum,State of the Art,3,0.7521090507507324,20,-4.0,[147.5  40.5 159.  143. ],0.2
4,generalsum,Stackelberg,3,0.6767280101776123,20,-4.0,[147.5  40.5 159.  143. ],0.2
4,generalsum,State of the Art,4,0.7765259742736816,20,-4.0,[147.5  40.5 159.  143. ],0.2
4,generalsum,Stackelberg,4,0.7338237762451172,20,-4.0,[147.5  40.5 159.  143. ],0.2
5,cooperative,State of the Art,2,0.05394601821899414,20,-5.0,[77.62 -5.   -5.   -5.  ],0.2
5,cooperative,Stackelberg,2,1.2460589408874512,20,-5.0,[77.62 -5.   -5.   -5.  ],0.2
5,cooperative,State of the Art,3,0.0557098388671875,20,-5.0,[77.62 -5.   -5.   -5.  ],0.2
5,cooperative,Stackelberg,3,1.2425131797790527,20,-5.0,[77.62 -5.   -5.   -5.  ],0.2
5,cooperative,State of the Art,4,0.05294299125671387,20,-5.0,[77.62 -5.   -5.   -5.  ],0.2
5,cooperative,Stackelberg,4,1.3403840065002441,20,-5.0,[77.62 -5.   -5.   -5.  ],0.2
5,zerosum,State of the Art,2,1.2920403480529785,20,-250.0,[ 50.80271525 201.         104.19648636 250.        ],0.2
5,zerosum,Stackelberg,2,1.3105568885803223,20,-250.0,[250. 250. 250. 250.],0.2
5,zerosum,State of the Art,3,1.232950210571289,20,-250.0,[ 50.80271525 201.         104.19648636 250.        ],0.2
5,zerosum,Stackelberg,3,1.4376349449157715,20,-250.0,[250. 250. 250. 250.],0.2
5,zerosum,State of the Art,4,1.3412790298461914,20,-250.0,[ 50.80271525 201.         104.19648636 250.        ],0.2
5,zerosum,Stackelberg,4,1.4951369762420654,20,-250.0,[250. 250. 250. 250.],0.2
5,generalsum,State of the Art,2,1.3952970504760742,20,-5.0,[186.5  65.5 200.  176. ],0.2
5,generalsum,Stackelberg,2,1.3258171081542969,20,-5.0,[186.5  65.5 200.  176. ],0.2
5,generalsum,State of the Art,3,1.3845288753509521,20,-5.0,[186.5  65.5 200.  176. ],0.2
5,generalsum,Stackelberg,3,1.3514602184295654,20,-5.0,[186.5  65.5 200.  176. ],0.2
5,generalsum,State of the Art,4,1.4071621894836426,20,-5.0,[186.5  65.5 200.  176. ],0.2
5,generalsum,Stackelberg,4,1.309819221496582,20,-5.0,[186.5  65.5 200.  176. ],0.2
