,State of the Art,State of the Art,State of the Art,Stackelberg,Stackelberg,Stackelberg
,time,leader value,iteration,time,leader value,iteration
broadcastChannel(1),0.046633243560791016,0.5,3,0.04649806022644043,0.5,3
broadcastChannel(2),0.08793997764587402,0.9999999999999999,3,0.07142925262451172,0.9999999999999999,3
broadcastChannel(3),0.16207599639892578,1.4999999999999998,3,0.12693214416503906,1.4999999999999998,3
broadcastChannel(4),0.2152252197265625,2.0,3,0.17603778839111328,2.0,3
broadcastChannel(5),0.26030588150024414,2.5,3,0.23160505294799805,2.5,3
