,State of the Art,State of the Art,State of the Art,State of the Art,Stackelberg,Stackelberg,Stackelberg,Stackelberg
,time,leader value,iteration,number_of_beliefs,time,leader value,iteration,number_of_beliefs
broadcastChannel(1),0.02255082130432129,0.5,3,0,0.015661001205444336,0.5,3,0
broadcastChannel(2),0.1090087890625,0.7672634271099745,3,0,0.09042882919311523,0.7672634271099743,3,0
broadcastChannel(3),0.15702295303344727,0.9407072553969753,3,0,0.1392669677734375,0.9407072553969751,3,0
broadcastChannel(4),0.22603988647460938,1.0698099670802037,3,0,0.20622634887695312,1.0698099670802037,3,0
broadcastChannel(5),0.3066830635070801,1.1782076224358384,3,0,0.26105499267578125,1.1782076224358382,3,0
