,State of the Art,State of the Art,State of the Art,Stackelberg,Stackelberg,Stackelberg
,time,leader value,iteration,time,leader value,iteration
2generals(1),0.010375261306762695,0.6877196806134007,2,0.2976977825164795,0.6877196806134007,2
2generals(2),0.008942842483520508,0.6877196806134007,2,0.2576320171356201,0.6877196806134007,2
2generals(3),0.009063720703125,0.6877196806134007,2,0.33859777450561523,0.6877196806134007,2
2generals(4),0.010690927505493164,0.6877196806134007,2,0.32122015953063965,0.6877196806134007,2
2generals(5),0.010360956192016602,0.6877196806134007,2,0.3156299591064453,0.6877196806134007,2
2generals(6),0.009092092514038086,0.6877196806134007,2,0.34038281440734863,0.6877196806134007,2
2generals(7),0.011347770690917969,0.6877196806134007,2,0.2798421382904053,0.6877196806134007,2
