,State of the Art,State of the Art,State of the Art,Stackelberg,Stackelberg,Stackelberg
,time,leader value,iteration,time,leader value,iteration
GridSmall(1),0.001287221908569336,0.37,2,0.08792686462402344,0.37,2
GridSmall(2),0.08394193649291992,0.49,2,1.6126248836517334,0.49,2
GridSmall(3),2.6266961097717285,0.74,2,13.735922813415527,0.74,2
