,State of the Art,State of the Art,State of the Art,Stackelberg,Stackelberg,Stackelberg
,time,leader value,iteration,time,leader value,iteration
relay4(1),0.026625871658325195,-50.0,2,0.026914596557617188,-50.0,2
relay4(2),0.13503503799438477,-100.0,2,0.13558101654052734,-100.0,2
relay4(3),0.3918788433074951,-150.0,2,0.41653895378112793,-150.0,2
