,State of the Art,State of the Art,State of the Art,Stackelberg,Stackelberg,Stackelberg
,time,leader value,iteration,time,leader value,iteration
relay4(1),0.02381730079650879,-1.0,2,0.026345014572143555,-1.0,2
relay4(2),0.1349630355834961,-2.0,2,0.1909198760986328,-2.0,2
relay4(3),0.4170351028442383,-3.0,2,0.451308012008667,-3.0,2
