,State of the Art,State of the Art,State of the Art,Stackelberg,Stackelberg,Stackelberg
,time,leader value,iteration,time,leader value,iteration
dectiger(1),0.012053966522216797,30.0,3,0.011846780776977539,30.0,3
dectiger(2),0.06157231330871582,60.0,3,0.06693506240844727,60.0,3
dectiger(3),0.15317010879516602,90.0,3,0.11055111885070801,90.0,3
dectiger(4),0.1591782569885254,120.0,3,0.17213892936706543,120.0,3
dectiger(5),0.2392277717590332,150.0,3,0.21039104461669922,150.0,3
