,State of the Art,State of the Art,State of the Art,State of the Art,Stackelberg,Stackelberg,Stackelberg,Stackelberg
,time,leader value,iteration,number_of_beliefs,time,leader value,iteration,number_of_beliefs
dectiger(1),0.020843982696533203,-75.0,3,4,0.016191959381103516,-75.0,3,4
dectiger(2),0.1923389434814453,-150.0,3,5,0.09335207939147949,-150.0,3,5
dectiger(3),0.2009568214416504,-225.0,3,5,0.21207499504089355,-225.0,3,5
dectiger(4),0.34293317794799805,-300.0,3,5,0.2860751152038574,-300.0,3,5
dectiger(5),0.3955190181732178,-375.0,3,5,0.3890650272369385,-375.0,3,5
