,State of the Art,State of the Art,State of the Art,Stackelberg,Stackelberg,Stackelberg
,time,leader value,iteration,time,leader value,iteration
dectiger(1),0.018926143646240234,-75.0,3,0.016275882720947266,-75.0,3
dectiger(2),0.07976484298706055,-150.0,3,0.08289504051208496,-150.0,3
dectiger(3),0.18969202041625977,-225.0,3,0.1401667594909668,-225.0,3
dectiger(4),0.2242271900177002,-300.0,3,0.20057201385498047,-300.0,3
dectiger(5),0.32822704315185547,-375.0,3,0.2804238796234131,-375.0,3
