,State of the Art,State of the Art,State of the Art,State of the Art,Stackelberg,Stackelberg,Stackelberg,Stackelberg
,time,leader value,iteration,number_of_beliefs,time,leader value,iteration,number_of_beliefs
relay4(1),0.020750045776367188,-50.0,3,22,0.017659902572631836,-50.0,3,22
relay4(2),0.09566092491149902,-100.0,3,18,0.09123611450195312,-100.0,3,18
relay4(3),0.4199559688568115,-150.0,3,24,0.43447303771972656,-150.0,3,24
relay4(4),0.707880973815918,-195.5,3,20,0.887380838394165,-195.5,3,20
