,State of the Art,State of the Art,State of the Art,Stackelberg,Stackelberg,Stackelberg
,time,leader value,iteration,time,leader value,iteration
prisoners(1),0.0209808349609375,-6.538461538461538,3,0.01897597312927246,-6.538461538461538,3
prisoners(2),0.06248188018798828,-13.076923076923077,3,0.0779871940612793,-6.846153846153846,3
prisoners(3),0.09685993194580078,-19.615384615384613,3,0.09546995162963867,-7.153846153846153,3
