,State of the Art,State of the Art,State of the Art,State of the Art,Stackelberg,Stackelberg,Stackelberg,Stackelberg
,time,leader value,iteration,number_of_beliefs,time,leader value,iteration,number_of_beliefs
dectiger(1),0.014985799789428711,-75.0,2,4,0.017470836639404297,-75.0,2,4
dectiger(2),0.08187127113342285,-150.0,2,4,0.08108782768249512,-150.0,2,4
