,State of the Art,State of the Art,State of the Art,State of the Art,Stackelberg,Stackelberg,Stackelberg,Stackelberg
,time,leader value,iteration,number_of_beliefs,time,leader value,iteration,number_of_beliefs
dectiger(1),0.00015473365783691406,9.0,2,4,0.027610063552856445,9.0,2,4
dectiger(2),0.001322031021118164,18.0,2,5,0.23866605758666992,18.0,2,5
dectiger(3),0.004069089889526367,27.0,2,6,0.15188908576965332,27.0,2,6
dectiger(4),0.007130146026611328,36.0,2,4,0.3276951313018799,36.0,2,4
