,State of the Art,State of the Art,State of the Art,State of the Art,Stackelberg,Stackelberg,Stackelberg,Stackelberg
,time,leader value,iteration,number_of_beliefs,time,leader value,iteration,number_of_beliefs
dectiger(1),0.0003600120544433594,9.0,4,3,0.08582210540771484,9.0,4,3
dectiger(2),0.0010540485382080078,18.0,4,3,0.0536198616027832,18.0,4,3
dectiger(3),0.0030159950256347656,27.0,4,3,0.09343385696411133,27.0,4,3
