,State of the Art,State of the Art,State of the Art,Stackelberg,Stackelberg,Stackelberg
,time,leader value,iteration,time,leader value,iteration
GridSmall(1),0.03541111946105957,0.37,2,0.03436994552612305,0.37,2
GridSmall(2),1.6993956565856934,0.49,2,1.8663930892944336,0.49,2
GridSmall(3),19.923799991607666,0.74,2,21.957463026046753,0.74,2
