,State of the Art,State of the Art,State of the Art,State of the Art,Stackelberg,Stackelberg,Stackelberg,Stackelberg
,time,leader value,iteration,number_of_beliefs,time,leader value,iteration,number_of_beliefs
dectiger(1),0.021147727966308594,-75.0,2,4,0.024955272674560547,-75.0,2,4
dectiger(2),0.13453412055969238,-150.0,2,5,0.10344696044921875,-150.0,2,5
dectiger(3),0.21795201301574707,-225.0,2,6,0.18030071258544922,-225.0,2,6
dectiger(4),0.29065608978271484,-300.0,2,4,0.2763180732727051,-300.0,2,4
