,State of the Art,State of the Art,State of the Art,State of the Art,Stackelberg,Stackelberg,Stackelberg,Stackelberg
,time,leader value,iteration,number_of_beliefs,time,leader value,iteration,number_of_beliefs
dectiger(1),0.00016617774963378906,9.0,3,4,0.044377803802490234,9.0,3,4
dectiger(2),0.0010950565338134766,18.0,3,5,0.09003090858459473,18.0,3,5
dectiger(3),0.004132270812988281,27.0,3,5,0.1479642391204834,27.0,3,5
dectiger(4),0.006886959075927734,36.0,3,5,0.2687039375305176,36.0,3,5
dectiger(5),0.01100778579711914,45.0,3,5,0.41050219535827637,45.0,3,5
