horizon,gametype,SOTA,iterations,time,number_of_beliefs,leader values,follower values,density
3,generalsum,State of the Art,3,0.8714108467102051,26,4.530435593101195,[ 3.10510997 -0.06004549  3.15665908  2.46997725],0.008
4,cooperative,Stackelberg,1,1.094224214553833,16,12.5061,[12.5061  0.5     0.5    -3.    ],0.2
4,cooperative,State of the Art,1,0.08373618125915527,16,12.5061,[12.5061  0.5     0.5    -3.    ],0.2
4,cooperative,Stackelberg,2,1.2273900508880615,26,12.5061,[12.5061  0.5     0.5    -3.    ],0.04
4,cooperative,State of the Art,2,0.10010313987731934,26,12.5061,[12.5061  0.5     0.5    -3.    ],0.04
4,cooperative,Stackelberg,3,1.363919973373413,26,12.5061,[12.5061  0.5     0.5    -3.    ],0.008
4,cooperative,State of the Art,3,0.10181927680969238,26,12.5061,[12.5061  0.5     0.5    -3.    ],0.008
4,zerosum,Stackelberg,1,1.0355126857757568,16,2.1079775892776254,[-2.10797759  0.69535716  1.52003399  3.73784184],0.2
4,zerosum,State of the Art,1,1.0888969898223877,16,2.107977589277626,[-2.10797759  0.69535716  0.01229593  3.73784184],0.2
4,zerosum,Stackelberg,2,1.4107768535614014,26,2.1079775892776254,[-2.10797759  0.69535716  1.52003399  3.73784184],0.04
4,zerosum,State of the Art,2,1.5088379383087158,26,2.107977589277626,[-2.10797759  0.69535716  0.01229593  3.73784184],0.04
4,zerosum,Stackelberg,3,1.680617094039917,26,2.1079775892776254,[-2.10797759  0.69535716  1.52003399  3.73784184],0.008
4,zerosum,State of the Art,3,1.4576687812805176,26,2.107977589277626,[-2.10797759  0.69535716  0.01229593  3.73784184],0.008
4,generalsum,Stackelberg,1,1.1447062492370605,16,5.294313108459792,[ 5.80990654 -0.19625989  3.13395668  2.40187005],0.2
4,generalsum,State of the Art,1,0.9573180675506592,16,5.294313108459792,[ 5.80990654 -0.19625989  3.13395668  2.40187005],0.2
4,generalsum,Stackelberg,2,1.5680358409881592,26,5.294313108459792,[ 5.80990654 -0.19625989  3.13395668  2.40187005],0.04
4,generalsum,State of the Art,2,1.575657844543457,26,5.294313108459792,[ 5.80990654 -0.19625989  3.13395668  2.40187005],0.04
4,generalsum,Stackelberg,3,1.3609869480133057,26,5.294313108459792,[ 5.80990654 -0.19625989  3.13395668  2.40187005],0.008
4,generalsum,State of the Art,3,1.5968141555786133,26,5.294313108459792,[ 5.80990654 -0.19625989  3.13395668  2.40187005],0.008
5,cooperative,Stackelberg,1,1.5713920593261719,16,15.630499999999998,[15.6305  0.5     0.5    -3.    ],0.2
5,cooperative,State of the Art,1,0.13764309883117676,16,15.630499999999998,[15.6305  0.5     0.5    -3.    ],0.2
5,cooperative,Stackelberg,2,1.9856691360473633,26,15.630499999999998,[15.6305  0.5     0.5    -3.    ],0.04
5,cooperative,State of the Art,2,0.19307684898376465,26,15.630499999999998,[15.6305  0.5     0.5    -3.    ],0.04
5,cooperative,Stackelberg,3,2.1048648357391357,26,15.630499999999998,[15.6305  0.5     0.5    -3.    ],0.008
5,cooperative,State of the Art,3,0.1912698745727539,26,15.630499999999998,[15.6305  0.5     0.5    -3.    ],0.008
5,zerosum,Stackelberg,1,1.675088882446289,16,1.848550259595157,[-1.84855026  0.65858363  1.56556313  3.73206314],0.2
