gametype,SOTA,horizon,iterations,time,number_of_beliefs,leader values,follower values,density
cooperative,Stackelberg,1,2,"[0.03801298141479492, 0.02219867706298828]",2,"[9.0, 9.0]","[array([9., 9.]), array([9., 9.])]",0.01
cooperative,Stackelberg,2,2,"[0.08773183822631836, 0.08582091331481934]",4,"[18.0, 18.0]","[array([18., 18.]), array([18., 18.])]",0.01
cooperative,State of the Art,1,2,"[0.0002238750457763672, 0.00018715858459472656]",2,"[9.0, 9.0]","[array([9., 9.]), array([9., 9.])]",0.01
cooperative,State of the Art,2,2,"[0.0031511783599853516, 0.0030019283294677734]",4,"[18.0, 18.0]","[array([9., 9.]), array([9., 9.])]",0.01
zerosum,Stackelberg,1,2,"[0.023494958877563477, 0.022366046905517578]",2,"[-75.0, -75.0]","[array([65.9375, 84.0625]), array([65.9375, 84.0625])]",0.01
zerosum,Stackelberg,2,2,"[0.10360407829284668, 0.10476207733154297]",4,"[-150.0, -150.0]","[array([150., 150.]), array([150., 150.])]",0.01
zerosum,State of the Art,1,2,"[0.02624201774597168, 0.04950714111328125]",2,"[-75.0, -75.0]","[array([84.0625, 65.9375]), array([84.0625, 65.9375])]",0.01
zerosum,State of the Art,2,2,"[0.11128115653991699, 0.10742402076721191]",4,"[-150.0, -150.0]","[array([84.0625, 65.9375]), array([84.0625, 65.9375])]",0.01
stackelberg,Stackelberg,1,2,"[0.0191652774810791, 0.01941990852355957]",2,"[3.5, 3.5]","[array([-20.,  -7.]), array([-20.,  -7.])]",0.01
stackelberg,Stackelberg,2,2,"[0.09016299247741699, 0.08632302284240723]",4,"[10.486484375, 10.486484375]","[array([-16.67921875, -14.        ]), array([-16.67921875, -14.        ])]",0.01
stackelberg,State of the Art,1,2,"[0.019669055938720703, 0.017631053924560547]",2,"[3.5, 3.5]","[array([-20.,  -7.]), array([-20.,  -7.])]",0.01
