gametype,SOTA,horizon,iterations,time,number_of_beliefs,leader values,follower values,density
cooperative,Stackelberg,1,3,"[0.03319716453552246, 0.0314640998840332, 0.027159690856933594]",5,"[-1.0, -1.0, -1.0]","[array([-1., -1., -1., -1.]), array([-1., -1., -1., -1.]), array([-1., -1., -1., -1.])]",1e-05
cooperative,Stackelberg,2,3,"[0.15849971771240234, 0.15535402297973633, 0.15958809852600098]",18,"[-2.0, -2.0, -2.0]","[array([-2., -2., -2., -2.]), array([-2., -2., -2., -2.]), array([-2., -2., -2., -2.])]",1e-05
cooperative,Stackelberg,3,3,"[0.884101152420044, 0.7962989807128906, 0.7861690521240234]",61,"[-3.0, -3.0, -3.0]","[array([38.31, -3.  , -3.  , -3.  ]), array([38.31, -3.  , -3.  , -3.  ]), array([38.31, -3.  , -3.  , -3.  ])]",1e-05
cooperative,Stackelberg,4,3,"[3.65749192237854, 3.6431679725646973, 3.5628600120544434]",310,"[-4.0, -4.0, -4.0]","[array([37.31, -4.  , -4.  , -4.  ]), array([37.31, -4.  , -4.  , -4.  ]), array([37.31, -4.  , -4.  , -4.  ])]",1e-05
cooperative,Stackelberg,5,3,"[37.12505006790161, 38.34872007369995, 39.07405972480774]",1754,"[-5.0, -5.0, -5.0]","[array([40.0279, -5.    , -5.    , -5.    ]), array([40.0279, -5.    , -5.    , -5.    ]), array([40.0279, -5.    , -5.    , -5.    ])]",1e-05
cooperative,State of the Art,1,3,"[0.0028619766235351562, 0.0027747154235839844, 0.0026776790618896484]",5,"[-1.0, -1.0, -1.0]","[array([-1., -1., -1., -1.]), array([-1., -1., -1., -1.]), array([-1., -1., -1., -1.])]",1e-05
cooperative,State of the Art,2,3,"[0.018671274185180664, 0.0177762508392334, 0.017882108688354492]",18,"[-2.0, -2.0, -2.0]","[array([-2., -2., -2., -2.]), array([-2., -2., -2., -2.]), array([-2., -2., -2., -2.])]",1e-05
cooperative,State of the Art,3,3,"[0.14126205444335938, 0.13790106773376465, 0.15110492706298828]",61,"[-3.0, -3.0, -3.0]","[array([38.31, -3.  , -3.  , -3.  ]), array([38.31, -3.  , -3.  , -3.  ]), array([38.31, -3.  , -3.  , -3.  ])]",1e-05
cooperative,State of the Art,4,3,"[1.1756479740142822, 1.0471720695495605, 1.0556252002716064]",310,"[-4.0, -4.0, -4.0]","[array([41.441, -4.   , -4.   , -4.   ]), array([41.441, -4.   , -4.   , -4.   ]), array([41.441, -4.   , -4.   , -4.   ])]",1e-05
cooperative,State of the Art,5,3,"[24.43234872817993, 24.573880195617676, 25.311745166778564]",1754,"[-5.0, -5.0, -5.0]","[array([78.36358, -5.     , -5.     , -5.     ]), array([78.36358, -5.     , -5.     , -5.     ]), array([78.36358, -5.     , -5.     , -5.     ])]",1e-05
