gametype,SOTA,horizon,iterations,time,number_of_beliefs,leader values,follower values,density
cooperative,Stackelberg,1,2,"[0.03244900703430176, 0.018171310424804688]",2,"[9.0, 9.0]","[array([9., 9.]), array([9., 9.])]",0.0001
cooperative,Stackelberg,2,2,"[0.10693001747131348, 0.13477182388305664]",4,"[18.0, 18.0]","[array([18., 18.]), array([18., 18.])]",0.0001
cooperative,Stackelberg,3,2,"[0.15663599967956543, 0.14937186241149902]",6,"[27.0, 27.0]","[array([27., 27.]), array([27., 27.])]",0.0001
cooperative,Stackelberg,4,2,"[0.2653989791870117, 0.28804516792297363]",8,"[36.0, 36.0]","[array([36., 36.]), array([36., 36.])]",0.0001
cooperative,Stackelberg,5,2,"[0.42233705520629883, 0.4438211917877197]",8,"[45.0, 45.0]","[array([45., 45.]), array([45., 45.])]",0.0001
cooperative,State of the Art,1,2,"[0.00014519691467285156, 0.00012087821960449219]",2,"[9.0, 9.0]","[array([9., 9.]), array([9., 9.])]",0.0001
cooperative,State of the Art,2,2,"[0.0024292469024658203, 0.002161264419555664]",4,"[18.0, 18.0]","[array([9., 9.]), array([9., 9.])]",0.0001
cooperative,State of the Art,3,2,"[0.006768703460693359, 0.007708072662353516]",6,"[27.0, 27.0]","[array([9., 9.]), array([9., 9.])]",0.0001
cooperative,State of the Art,4,2,"[0.015985965728759766, 0.01644110679626465]",8,"[36.0, 36.0]","[array([9., 9.]), array([9., 9.])]",0.0001
cooperative,State of the Art,5,2,"[0.02851581573486328, 0.02963876724243164]",8,"[45.0, 45.0]","[array([9., 9.]), array([9., 9.])]",0.0001
zerosum,Stackelberg,1,2,"[0.0198819637298584, 0.02158379554748535]",2,"[-75.0, -75.0]","[array([65.9375, 84.0625]), array([65.9375, 84.0625])]",0.0001
zerosum,Stackelberg,2,2,"[0.07900619506835938, 0.0790858268737793]",4,"[-150.0, -150.0]","[array([150., 150.]), array([150., 150.])]",0.0001
zerosum,Stackelberg,3,2,"[0.2040259838104248, 0.19883489608764648]",6,"[-225.0, -225.0]","[array([234.0625, 215.9375]), array([234.0625, 215.9375])]",0.0001
zerosum,Stackelberg,4,2,"[0.36127614974975586, 0.4823641777038574]",8,"[-300.0, -300.0]","[array([318.125, 281.875]), array([318.125, 281.875])]",0.0001
zerosum,Stackelberg,5,2,"[0.5534987449645996, 0.5737950801849365]",8,"[-375.0, -375.0]","[array([402.1875, 347.8125]), array([402.1875, 347.8125])]",0.0001
zerosum,State of the Art,1,2,"[0.0233001708984375, 0.02079606056213379]",2,"[-75.0, -75.0]","[array([84.0625, 65.9375]), array([84.0625, 65.9375])]",0.0001
zerosum,State of the Art,2,2,"[0.08020210266113281, 0.0793149471282959]",4,"[-150.0, -150.0]","[array([84.0625, 65.9375]), array([84.0625, 65.9375])]",0.0001
zerosum,State of the Art,3,2,"[0.1860651969909668, 0.18558096885681152]",6,"[-225.0, -225.0]","[array([84.0625, 65.9375]), array([84.0625, 65.9375])]",0.0001
zerosum,State of the Art,4,2,"[0.3627338409423828, 0.40799689292907715]",8,"[-300.0, -300.0]","[array([84.0625, 65.9375]), array([84.0625, 65.9375])]",0.0001
zerosum,State of the Art,5,2,"[0.5276479721069336, 0.5215549468994141]",8,"[-375.0, -375.0]","[array([84.0625, 65.9375]), array([84.0625, 65.9375])]",0.0001
stackelberg,Stackelberg,1,2,"[0.013916015625, 0.015145301818847656]",2,"[3.5, 3.5]","[array([-20.,  -7.]), array([-20.,  -7.])]",0.0001
stackelberg,Stackelberg,2,2,"[0.06833600997924805, 0.0662999153137207]",4,"[10.486484375, 10.486484375]","[array([-16.67921875, -14.        ]), array([-16.67921875, -14.        ])]",0.0001
stackelberg,Stackelberg,3,2,"[0.16840195655822754, 0.1618359088897705]",6,"[14.860659765625, 14.860659765625]","[array([-31.28012578, -21.        ]), array([-31.28012578, -21.        ])]",0.0001
stackelberg,Stackelberg,4,2,"[0.36371612548828125, 0.3204176425933838]",8,"[21.270414724609378, 21.270414724609378]","[array([-31.99291879, -28.        ]), array([-31.99291879, -28.        ])]",0.0001
stackelberg,Stackelberg,5,2,"[0.4440622329711914, 0.47331905364990234]",8,"[25.456872624133304, 25.456872624133304]","[array([-47.40188866, -35.        ]), array([-47.40188866, -35.        ])]",0.0001
stackelberg,State of the Art,1,2,"[0.02488088607788086, 0.025055885314941406]",2,"[3.5, 3.5]","[array([-20.,  -7.]), array([-20.,  -7.])]",0.0001
stackelberg,State of the Art,2,2,"[0.09766817092895508, 0.06696224212646484]",4,"[10.486484375, 10.486484375]","[array([-20.,  -7.]), array([-20.,  -7.])]",0.0001
stackelberg,State of the Art,3,2,"[0.15627288818359375, 0.16156697273254395]",6,"[14.710069396972656, 14.710069396972656]","[array([-20.,  -7.]), array([-20.,  -7.])]",0.0001
stackelberg,State of the Art,4,2,"[0.34545326232910156, 0.35166072845458984]",8,"[21.05480025515366, 21.05480025515366]","[array([-20.,  -7.]), array([-20.,  -7.])]",0.0001
stackelberg,State of the Art,5,2,"[0.51202392578125, 0.4397697448730469]",8,"[25.223234320252402, 25.223234320252402]","[array([-20.,  -7.]), array([-20.,  -7.])]",0.0001
