horizon,gametype,SOTA,iterations,time,number_of_beliefs,leader values,follower values,density
4,zerosum,Stackelberg,1,0.887380838394165,14,-195.5,[195.17114094 195.5        195.5        195.5       ],0.008
4,zerosum,State of the Art,1,0.707880973815918,14,-195.5,[  8.47402685 146.5         79.33       195.5       ],0.008
4,zerosum,Stackelberg,2,1.1808600425720215,17,-195.5,[195.17114094 195.5        195.5        195.5       ],0.2
4,zerosum,State of the Art,2,0.8228261470794678,17,-195.5,[  8.46402685 146.5         79.24       195.5       ],0.2
4,zerosum,Stackelberg,3,1.2103469371795654,20,-195.5,[195.17114094 195.5        195.5        195.5       ],0.04
4,zerosum,State of the Art,3,0.8875288963317871,20,-195.5,[  8.46402685 146.5         79.24       195.5       ],0.04
4,generalsum,Stackelberg,1,0.7570230960845947,14,-4.0,[147.5  40.5 159.  143. ],0.008
4,generalsum,State of the Art,1,0.6963901519775391,14,-4.0,[147.5  40.5 159.  143. ],0.008
4,generalsum,Stackelberg,2,0.9500563144683838,19,-3.961687536682178,[142.00663656  37.52190112 141.86603759 137.86888172],0.2
4,generalsum,State of the Art,2,0.8435587882995605,19,-3.961687536682178,[142.00663656  37.52190112 141.86603759 137.86888172],0.2
4,generalsum,Stackelberg,3,1.098682165145874,23,-3.955392672419739,[141.95827161  37.51638725 141.79512123 137.72679937],0.04
4,generalsum,State of the Art,3,1.012549877166748,23,-3.955392672419739,[141.95827161  37.51638725 141.79512123 137.72679937],0.04
