gametype,SOTA,horizon,iterations,time,number_of_beliefs,leader values,follower values,density
cooperative,Stackelberg,1,2,"[0.040876150131225586, 0.015624761581420898]",2,"[9.0, 9.0]","[array([9., 9.]), array([9., 9.])]",0.0001
cooperative,Stackelberg,2,2,"[0.06636619567871094, 0.06521296501159668]",4,"[18.0, 18.0]","[array([18., 18.]), array([18., 18.])]",0.0001
cooperative,Stackelberg,3,2,"[0.1517009735107422, 0.15459108352661133]",6,"[27.0, 27.0]","[array([27., 27.]), array([27., 27.])]",0.0001
cooperative,State of the Art,1,2,"[0.00014519691467285156, 0.00011897087097167969]",2,"[9.0, 9.0]","[array([9., 9.]), array([9., 9.])]",0.0001
cooperative,State of the Art,2,2,"[0.0024118423461914062, 0.0021963119506835938]",4,"[18.0, 18.0]","[array([9., 9.]), array([9., 9.])]",0.0001
cooperative,State of the Art,3,2,"[0.007575035095214844, 0.0069048404693603516]",6,"[27.0, 27.0]","[array([9., 9.]), array([9., 9.])]",0.0001
zerosum,Stackelberg,1,2,"[0.019598007202148438, 0.01881694793701172]",2,"[-75.0, -75.0]","[array([65.9375, 84.0625]), array([65.9375, 84.0625])]",0.0001
zerosum,Stackelberg,2,2,"[0.11330199241638184, 0.07902002334594727]",4,"[-150.0, -150.0]","[array([150., 150.]), array([150., 150.])]",0.0001
zerosum,Stackelberg,3,2,"[0.18706321716308594, 0.19439697265625]",6,"[-225.0, -225.0]","[array([234.0625, 215.9375]), array([234.0625, 215.9375])]",0.0001
zerosum,State of the Art,1,2,"[0.022214889526367188, 0.02202606201171875]",2,"[-75.0, -75.0]","[array([84.0625, 65.9375]), array([84.0625, 65.9375])]",0.0001
zerosum,State of the Art,2,2,"[0.07924890518188477, 0.08495903015136719]",4,"[-150.0, -150.0]","[array([84.0625, 65.9375]), array([84.0625, 65.9375])]",0.0001
zerosum,State of the Art,3,2,"[0.19186997413635254, 0.1977558135986328]",6,"[-225.0, -225.0]","[array([84.0625, 65.9375]), array([84.0625, 65.9375])]",0.0001
stackelberg,Stackelberg,1,2,"[0.013942956924438477, 0.014980077743530273]",2,"[3.5, 3.5]","[array([-20.,  -7.]), array([-20.,  -7.])]",0.0001
stackelberg,Stackelberg,2,2,"[0.06321310997009277, 0.061324119567871094]",4,"[10.486484375, 10.486484375]","[array([-16.67921875, -14.        ]), array([-16.67921875, -14.        ])]",0.0001
stackelberg,Stackelberg,3,2,"[0.15809988975524902, 0.15734124183654785]",6,"[14.860659765625, 14.860659765625]","[array([-31.28012578, -21.        ]), array([-31.28012578, -21.        ])]",0.0001
stackelberg,State of the Art,1,2,"[0.015458106994628906, 0.014626026153564453]",2,"[3.5, 3.5]","[array([-20.,  -7.]), array([-20.,  -7.])]",0.0001
stackelberg,State of the Art,2,2,"[0.06802797317504883, 0.0640108585357666]",4,"[10.486484375, 10.486484375]","[array([-20.,  -7.]), array([-20.,  -7.])]",0.0001
stackelberg,State of the Art,3,2,"[0.15118122100830078, 0.15697121620178223]",6,"[14.710069396972656, 14.710069396972656]","[array([-20.,  -7.]), array([-20.,  -7.])]",0.0001
