horizon,gametype,SOTA,iterations,time,number_of_beliefs,leader values,follower values,density
3,generalsum,State of the Art,1,0.11692500114440918,0,5.5,[1.8 1.8 2.8 2.8],0.2
3,generalsum,Stackelberg,2,0.22289776802062988,0,5.5,[1.8 1.8 2.8 2.8],0.04
3,generalsum,State of the Art,2,0.18100619316101074,0,5.5,[1.8 1.8 2.8 2.8],0.04
3,generalsum,Stackelberg,3,0.23817706108093262,0,5.5,[1.8 1.8 2.8 2.8],0.008
3,generalsum,State of the Art,3,0.25895023345947266,0,5.5,[1.8 1.8 2.8 2.8],0.008
4,cooperative,Stackelberg,1,0.21602702140808105,0,3.890000000000001,[2.7  2.89 2.99 3.89],0.2
4,cooperative,State of the Art,1,0.011904001235961914,0,3.890000000000001,[2.7  2.89 2.99 3.89],0.2
4,cooperative,Stackelberg,2,0.3595619201660156,0,3.890000000000001,[2.64339 2.89    2.99    3.89   ],0.04
4,cooperative,State of the Art,2,0.019025325775146484,0,3.890000000000001,[2.7  2.89 2.99 3.89],0.04
4,cooperative,Stackelberg,3,0.4308910369873047,0,3.890000000000001,[2.64339 2.89    2.99    3.89   ],0.008
4,cooperative,State of the Art,3,0.023960113525390625,0,3.890000000000001,[2.7  2.89 2.99 3.89],0.008
4,zerosum,Stackelberg,1,0.20622634887695312,0,1.0698099670802037,[-0.19961145 -0.92019024 -0.20161697 -1.06980997],0.2
4,zerosum,State of the Art,1,0.22603988647460938,0,1.0698099670802037,[-0.92019024 -0.92019024 -1.06980997 -1.06980997],0.2
4,zerosum,Stackelberg,2,0.37661075592041016,0,1.0698099670802037,[-0.19961145 -0.92019024 -0.20161697 -1.06980997],0.04
4,zerosum,State of the Art,2,0.429811954498291,0,1.0698099670802037,[-0.92019024 -0.92019024 -1.06980997 -1.06980997],0.04
4,zerosum,Stackelberg,3,0.5278570652008057,0,1.0698099670802037,[-0.19961145 -0.92019024 -0.20161697 -1.06980997],0.008
4,zerosum,State of the Art,3,0.5873441696166992,0,1.0698099670802037,[-0.92019024 -0.92019024 -1.06980997 -1.06980997],0.008
4,generalsum,Stackelberg,1,0.18616557121276855,0,7.300000000000001,[2.7 2.7 3.7 3.7],0.2
4,generalsum,State of the Art,1,0.31960487365722656,0,7.300000000000001,[2.7 2.7 3.7 3.7],0.2
4,generalsum,Stackelberg,2,0.3500058650970459,0,7.300000000000001,[2.7 2.7 3.7 3.7],0.04
4,generalsum,State of the Art,2,0.3613879680633545,0,7.300000000000001,[2.7 2.7 3.7 3.7],0.04
4,generalsum,Stackelberg,3,0.45442891120910645,0,7.300000000000001,[2.7 2.7 3.7 3.7],0.008
4,generalsum,State of the Art,3,0.5198590755462646,0,7.300000000000001,[2.7 2.7 3.7 3.7],0.008
5,cooperative,Stackelberg,1,0.24611473083496094,0,4.790000000000002,[3.6    3.79   4.0439 4.79  ],0.2
5,cooperative,State of the Art,1,0.017261266708374023,0,4.790000000000002,[3.6    3.79   4.0439 4.79  ],0.2
5,cooperative,Stackelberg,2,0.49738025665283203,0,4.790000000000002,[3.6    3.79   4.0439 4.79  ],0.04
5,cooperative,State of the Art,2,0.02868485450744629,0,4.790000000000002,[3.6    3.79   4.0439 4.79  ],0.04
5,cooperative,Stackelberg,3,0.7488980293273926,0,4.790000000000002,[3.6    3.79   4.0439 4.79  ],0.008
5,cooperative,State of the Art,3,0.037322044372558594,0,4.790000000000002,[3.6    3.79   4.0439 4.79  ],0.008
5,zerosum,Stackelberg,1,0.26105499267578125,0,1.1782076224358382,[-0.28675957 -1.05484799 -0.28825176 -1.17820762],0.2
5,zerosum,State of the Art,1,0.3066830635070801,0,1.1782076224358384,[-1.05484799 -1.05484799 -1.17820762 -1.17820762],0.2
5,zerosum,Stackelberg,2,0.5514469146728516,0,1.1782076224358382,[-0.28675957 -1.05484799 -0.28825176 -1.17820762],0.04
5,zerosum,State of the Art,2,0.6423239707946777,0,1.1782076224358382,[-1.05484799 -1.05484799 -1.17820762 -1.17820762],0.04
5,zerosum,Stackelberg,3,0.8947339057922363,0,1.1782076224358382,[-0.28675957 -1.05484799 -0.28825176 -1.17820762],0.008
5,zerosum,State of the Art,3,0.9061129093170166,0,1.1782076224358382,[-1.05484799 -1.05484799 -1.17820762 -1.17820762],0.008
5,generalsum,Stackelberg,1,0.27060985565185547,0,9.100000000000001,[3.6 3.6 4.6 4.6],0.2
5,generalsum,State of the Art,1,0.24509501457214355,0,9.100000000000001,[3.6 3.6 4.6 4.6],0.2
5,generalsum,Stackelberg,2,0.5030660629272461,0,9.100000000000001,[3.6 3.6 4.6 4.6],0.04
5,generalsum,State of the Art,2,0.6272408962249756,0,9.100000000000001,[3.6 3.6 4.6 4.6],0.04
5,generalsum,Stackelberg,3,0.691230058670044,0,9.100000000000001,[3.6 3.6 4.6 4.6],0.008
5,generalsum,State of the Art,3,0.691180944442749,0,9.100000000000001,[3.6 3.6 4.6 4.6],0.008
