,cooperative,cooperative,zerosum,zerosum,general-sum,general-sum
,State of the Art Leader Value,Stackelberg Leader Value,State of the Art Leader Value,Stackelberg Leader Value,State of the Art Leader Value,Stackelberg Leader Value
GridSmall(1),0.37,0.37,0.0,0.0,0.37,0.37
GridSmall(2),0.49,0.49,0.0,0.0,0.49,0.49
GridSmall(3),0.74,0.74,0.0,0.0,0.74,0.74
