,cooperative,cooperative,zerosum,zerosum,general-sum,general-sum
,State of the Art Leader Value,Stackelberg Leader Value,State of the Art Leader Value,Stackelberg Leader Value,State of the Art Leader Value,Stackelberg Leader Value
prisoners(1),0.0,0.0,-5.0,-5.0,-6.538461538461538,-6.538461538461538
prisoners(2),0.0,0.0,-10.0,-10.0,-6.846153846153846,-13.076923076923077
prisoners(3),0.0,0.0,-15.0,-15.0,-7.153846153846153,-19.615384615384613
