,cooperative,cooperative,zerosum,zerosum,generalsum,generalsum
,State of the Art Leader Value,Stackelberg Leader Value,State of the Art Leader Value,Stackelberg Leader Value,State of the Art Leader Value,Stackelberg Leader Value
0,5.0,5.0,2.0,2.0,2.6666666666666665,2.6666666666666665
1,6.7,6.7,2.398244213886672,2.398244213886672,3.4969956280373715,3.4969956280373715
2,10.325,10.325,2.2098598268238137,2.2098598268238137,5.962843364841333,5.962843364841333
3,12.5061,12.5061,2.1079775892776254,2.107977589277626,5.294313108459792,5.294313108459792
4,15.630499999999998,15.630499999999998,1.848550259595157,1.8485502595951573,8.266975128468664,8.266975128468664
5,18.137625,18.137625,1.5896528144728175,1.5896528144728177,8.352883547184623,8.352883547184623
6,20.989305539999997,20.989305539999997,1.3376355565233322,1.3376355565233324,8.257454295007408,8.257454295007408
7,23.6365821646,23.6365821646,1.070138235430738,1.070138235430738,7.6654256192584835,7.6654256192584835
8,26.404514153153997,26.404514153153997,0.8060521004399491,0.8060521004399491,9.183608967930205,9.183608967930205
9,29.096347330131458,29.096347330131458,0.5420794109969433,0.542079410996943,11.13094352463854,11.13094352463854
