,cooperative,cooperative,zerosum,zerosum,generalsum,generalsum
,State of the Art Leader Value,Stackelberg Leader Value,State of the Art Leader Value,Stackelberg Leader Value,State of the Art Leader Value,Stackelberg Leader Value
0,0.0,0.0,-5.0,-5.0,-6.538461538461538,-6.538461538461538
1,0.0,0.0,-10.0,-10.0,-6.846153846153846,-6.846153846153846
2,0.0,0.0,-15.0,-15.0,-7.153846153846153,-7.153846153846153
3,0.0,0.0,-20.0,-20.0,-7.461538461538462,-7.461538461538462
